French,English
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
mois,month
frère,brother
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
type,type
leurs,their
donné,given
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
main,hand
côté,side
pouvoir,power
sois,be
tellement,so much
enfant,child
point,point
venu,came
venez,come
devant,in front of
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
